@relation 'MLC'

@attribute F1_MEAN_on_ACC_X numeric
@attribute F2_MEAN_on_ACC_Y numeric
@attribute F3_MEAN_on_ACC_Z numeric
@attribute F4_MEAN_on_MAG_V numeric
@attribute F5_PeakToPeak_on_ACC_X numeric
@attribute F6_PeakToPeak_on_ACC_Y numeric
@attribute F7_PeakToPeak_on_ACC_Z numeric
@attribute F8_PeakToPeak_on_MAG_V numeric
@attribute F9_MIN_on_ACC_X numeric
@attribute F10_MIN_on_ACC_Y numeric
@attribute F11_MIN_on_ACC_Z numeric
@attribute F12_MIN_on_MAG_V numeric
@attribute F13_MAX_on_ACC_X numeric
@attribute F14_MAX_on_ACC_Y numeric
@attribute F15_MAX_on_ACC_Z numeric
@attribute F16_MAX_on_MAG_V numeric
@attribute class {down_horizontally, down_vertically, up_horizontally, up_vertically}

@data
-0.119141, 0.106445, 1.0498, 0, 0.0100098, 0.221069, 0.0166016, 0, -0.125977, 0.039978, 1.04297, 0, -0.115967, 0.260986, 1.05957, 0, down_horizontally
-0.126099, 0.261475, 1.06152, 0, 0, 0, 0, 0, -0.125977, 0.260986, 1.05957, 0, -0.125977, 0.260986, 1.05957, 0, down_horizontally
-0.126099, 0.261475, 1.06152, 0, 0, 0, 0, 0, -0.125977, 0.260986, 1.05957, 0, -0.125977, 0.260986, 1.05957, 0, down_horizontally
-0.110474, 0.272949, 1.06152, 0, 0.156006, 0.11499, 0.00292969, 0, -0.125977, 0.260986, 1.05957, 0, 0.0299988, 0.375977, 1.0625, 0, down_horizontally
0.0300598, 0.376709, 1.06348, 0, 0, 0, 0, 0, 0.0299988, 0.375977, 1.0625, 0, 0.0299988, 0.375977, 1.0625, 0, down_horizontally
0.0300598, 0.376709, 1.06348, 0, 0, 0, 0, 0, 0.0299988, 0.375977, 1.0625, 0, 0.0299988, 0.375977, 1.0625, 0, down_horizontally
0.0300598, 0.376709, 1.06348, 0, 0, 0, 0, 0, 0.0299988, 0.375977, 1.0625, 0, 0.0299988, 0.375977, 1.0625, 0, down_horizontally
0.0471802, 0.376709, 1.05957, 0, 0.0189819, 0, 0.00488281, 0, 0.0299988, 0.375977, 1.05762, 0, 0.0489807, 0.375977, 1.0625, 0, down_horizontally
0.0490723, 0.376709, 1.05859, 0, 0, 0, 0, 0, 0.0489807, 0.375977, 1.05762, 0, 0.0489807, 0.375977, 1.05762, 0, down_horizontally
0.0490723, 0.376709, 1.05859, 0, 0, 0, 0, 0, 0.0489807, 0.375977, 1.05762, 0, 0.0489807, 0.375977, 1.05762, 0, down_horizontally
-0.0252228, 0.286865, 0.964355, 0, 0.105957, 0.128052, 0.134766, 0, -0.0569763, 0.247925, 0.922852, 0, 0.0489807, 0.375977, 1.05762, 0, down_horizontally
-0.0570374, 0.248291, 0.92334, 0, 0, 0, 0, 0, -0.0569763, 0.247925, 0.922852, 0, -0.0569763, 0.247925, 0.922852, 0, down_horizontally
-0.0570374, 0.248291, 0.92334, 0, 0, 0, 0, 0, -0.0569763, 0.247925, 0.922852, 0, -0.0569763, 0.247925, 0.922852, 0, down_horizontally
-0.111145, 0.212158, 0.958984, 0, 0.107971, 0.0720215, 0.0708008, 0, -0.164917, 0.175903, 0.922852, 0, -0.0569763, 0.247925, 0.993652, 0, down_horizontally
-0.165161, 0.176025, 0.994629, 0, 0, 0, 0, 0, -0.164917, 0.175903, 0.993652, 0, -0.164917, 0.175903, 0.993652, 0, down_horizontally
-0.165161, 0.176025, 0.994629, 0, 0, 0, 0, 0, -0.164917, 0.175903, 0.993652, 0, -0.164917, 0.175903, 0.993652, 0, down_horizontally
-0.13562, 0.148804, 1.01563, 0, 0.098938, 0.0909424, 0.0708008, 0, -0.164917, 0.0849609, 0.993652, 0, -0.065979, 0.175903, 1.06445, 0, down_horizontally
-0.06604, 0.085022, 1.06543, 0, 0, 0, 0, 0, -0.065979, 0.0849609, 1.06445, 0, -0.065979, 0.0849609, 1.06445, 0, down_horizontally
-0.06604, 0.085022, 1.06543, 0, 0, 0, 0, 0, -0.065979, 0.0849609, 1.06445, 0, -0.065979, 0.0849609, 1.06445, 0, down_horizontally
-0.0649414, 0.0645142, 1.06543, 0, 0.0109863, 0.204956, 0.00488281, 0, -0.065979, -0.119995, 1.05957, 0, -0.0549927, 0.0849609, 1.06445, 0, down_horizontally
-0.0550232, -0.120239, 1.06152, 0, 0, 0, 0, 0, -0.0549927, -0.119995, 1.05957, 0, -0.0549927, -0.119995, 1.05957, 0, down_horizontally
-0.0550232, -0.120239, 1.06152, 0, 0, 0, 0, 0, -0.0549927, -0.119995, 1.05957, 0, -0.0549927, -0.119995, 1.05957, 0, down_horizontally
-0.0550232, -0.120239, 1.06152, 0, 0, 0, 0, 0, -0.0549927, -0.119995, 1.05957, 0, -0.0549927, -0.119995, 1.05957, 0, down_horizontally
-0.0271454, -0.328857, 1.0498, 0, 0.0310059, 0.231812, 0.0136719, 0, -0.0549927, -0.351807, 1.0459, 0, -0.0239868, -0.119995, 1.05957, 0, down_horizontally
-0.0240326, -0.352051, 1.04785, 0, 0, 0, 0, 0, -0.0239868, -0.351807, 1.0459, 0, -0.0239868, -0.351807, 1.0459, 0, down_horizontally
-0.0240326, -0.352051, 1.04785, 0, 0, 0, 0, 0, -0.0239868, -0.351807, 1.0459, 0, -0.0239868, -0.351807, 1.0459, 0, down_horizontally
-0.0240326, -0.352051, 0.979004, 0, 0, 0, 0.0981445, 0, -0.0239868, -0.351807, 0.947754, 0, -0.0239868, -0.351807, 1.0459, 0, down_horizontally
-0.0240326, -0.352051, 0.949219, 0, 0, 0, 0, 0, -0.0239868, -0.351807, 0.947754, 0, -0.0239868, -0.351807, 0.947754, 0, down_horizontally
-0.0240326, -0.352051, 0.949219, 0, 0, 0, 0, 0, -0.0239868, -0.351807, 0.947754, 0, -0.0239868, -0.351807, 0.947754, 0, down_horizontally
